Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
2021,July-Sept,1050856,6024506.0,336862,Black,M,Aged 35 to 44 years,Not a youth,23,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,16056
2021,Oct-Dec,1048980,6056229.0,315943,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Harassment/Threatening,0,0,0,0,0,0,,,,,,35508
2021,Apr-June,1021092,6020250.0,331763,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Robbery/Theft,0,0,1,1,0,0,,,,,,24448
2021,Jan-Mar,1005471,6011459.0,306351,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Police Category - Incident,0,0,0,0,0,0,,,,,,32343
2021,Oct-Dec,1034281,6009629.0,325283,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Vehicle Related,0,0,0,0,0,0,,,,,,1521
2021,Apr-June,1034671,6048830.0,327419,Black,M,Aged 17 years and under,Youth (aged 17 years and under),XX,0,0,Break and Enter,0,0,0,0,0,0,,,,,,55700
2021,Jan-Mar,1022162,6009132.0,322111,Black,F,Aged 25 to 34 years,Not a youth,23,0,0,Police Category - Administrative,0,0,0,0,0,1,,,,,,4297
2021,Oct-Dec,1047470,6051050.0,314193,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Police Category - Incident,0,0,0,0,0,0,,,,,,37567
2021,Oct-Dec,1040242,6026241.0,303008,Black,F,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,46254
2021,Apr-June,1056791,6037203.0,302136,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Weapons,0,0,0,0,0,0,,,,,,16840
2021,Jan-Mar,1049325,6056301.0,311012,Black,F,Aged 45 to 54 years,Not a youth,11,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,26532
2021,Oct-Dec,1054166,6022301.0,314807,Black,M,Aged 55 to 64 years,Not a youth,22,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,20141
2021,Apr-June,1050698,6004554.0,311479,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,13872
2021,July-Sept,1051981,6049139.0,302881,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Robbery/Theft,0,0,0,0,0,1,,,,,,43272
2021,Jan-Mar,1026898,6058697.0,302089,Black,M,Aged 18 to 24 years,Not a youth,14,0,1,Robbery/Theft,0,0,1,0,0,0,,,,,,1278
2021,July-Sept,1041637,6059817.0,310390,Black,M,Aged 25 to 34 years,Not a youth,51,0,1,Robbery/Theft,0,0,0,0,0,0,,,,,,57706
2021,July-Sept,1040795,6006342.0,311967,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Vehicle Related,0,0,0,0,0,0,,,,,,48968
2021,Jan-Mar,1023968,6006913.0,326094,Black,M,Aged 55 to 64 years,Not a youth,14,0,1,Sexual Related Crime,0,0,0,0,0,0,,,,,,33882
2021,Jan-Mar,1005378,6025855.0,301484,Black,F,Aged 18 to 24 years,Not a youth,XX,0,1,Robbery/Theft,0,0,0,0,0,0,,,,,,50257
2021,Jan-Mar,1051472,6038539.0,329454,Black,M,Aged 18 to 24 years,Not a youth,22,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,60861
2021,Oct-Dec,1010149,6012812.0,322502,Black,M,Aged 45 to 54 years,Not a youth,XX,0,1,Impaired,0,0,0,0,0,0,,,,,,31163
2021,Apr-June,1043345,6004313.0,323075,Black,F,Aged 35 to 44 years,Not a youth,42,0,0,Weapons,0,0,0,0,0,1,,,,,,6584
2021,July-Sept,1018420,6042833.0,326788,Black,M,Aged 45 to 54 years,Not a youth,42,0,1,Weapons,0,0,0,0,0,0,,,,,,13550
2021,Apr-June,1032565,6041742.0,336106,Black,M,Aged 35 to 44 years,Not a youth,31,0,0,Assault,0,0,0,0,0,1,,,,,,15597
2021,Apr-June,1020526,6002332.0,325381,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,9790
2021,Apr-June,1030363,6021833.0,324886,Black,F,Aged 18 to 24 years,Not a youth,43,0,1,Weapons,0,0,0,0,0,0,,,,,,29442
2021,Jan-Mar,1024050,6022423.0,310862,Black,M,Aged 25 to 34 years,Not a youth,41,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,9313
2021,Jan-Mar,1014778,6045715.0,305528,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,1,0,0,0,0,,,,,,28964
2021,Apr-June,1049436,6033029.0,306368,Black,M,Aged 25 to 34 years,Not a youth,XX,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,4818
2021,Apr-June,1054775,6047271.0,324179,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,1,,,,,,27582
2021,Jan-Mar,1017320,6057781.0,317695,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Mischief,0,0,0,0,0,0,,,,,,24010
2021,Jan-Mar,1056970,6004657.0,325513,Black,M,Aged 35 to 44 years,Not a youth,23,0,1,Impaired,0,0,0,0,0,0,,,,,,12870
2021,Jan-Mar,1024741,6007756.0,311845,Black,F,Aged 25 to 34 years,Not a youth,12,0,1,Drug Related,0,0,0,0,0,1,,,,,,43656
2021,Apr-June,1005930,6037019.0,326876,Black,M,Aged 25 to 34 years,Not a youth,32,1,1,Drug Related,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,5579
2021,Apr-June,1014624,6043631.0,315974,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Vehicle Related,0,0,0,0,0,1,,,,,,4821
2021,Apr-June,1057541,6032223.0,310570,Black,F,Aged 35 to 44 years,Not a youth,12,0,0,Robbery/Theft,0,0,0,0,0,0,,,,,,29295
2021,Apr-June,1005876,6000005.0,301159,Black,F,Aged 25 to 34 years,Not a youth,41,0,0,Assault,0,0,0,0,0,1,,,,,,50423
2021,Apr-June,1054907,6026650.0,320576,Black,M,Aged 45 to 54 years,Not a youth,51,0,0,Robbery/Theft,0,0,0,0,0,0,,,,,,20293
2021,Oct-Dec,1036448,6027839.0,330624,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,8428
2021,Apr-June,1004803,6038047.0,322861,Black,F,Aged 25 to 34 years,Not a youth,12,0,1,Assault,0,0,0,1,0,1,,,,,,8073
2021,July-Sept,1041293,6059886.0,328108,Black,M,Aged 18 to 24 years,Not a youth,51,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,21307
2021,Apr-June,1001610,6058251.0,318351,Black,M,Aged 35 to 44 years,Not a youth,11,0,1,Weapons,0,0,0,0,0,1,,,,,,9945
2021,July-Sept,1040035,6030421.0,336699,Black,F,Aged 35 to 44 years,Not a youth,XX,0,0,Mischief,0,0,0,0,0,0,,,,,,11606
2021,Oct-Dec,1008362,6029531.0,319307,Black,M,Aged 65 years and older,Not a youth,XX,0,0,Robbery/Theft,0,0,0,0,0,0,,,,,,65144
2021,Apr-June,1003259,6040443.0,325371,Black,M,Aged 25 to 34 years,Not a youth,42,0,1,Police Category - Administrative,0,0,0,0,0,1,,,,,,42396
2021,Oct-Dec,1042080,6050104.0,313843,Black,M,Aged 35 to 44 years,Not a youth,23,0,1,Sexual Related Crime,0,0,1,0,0,0,,,,,,15988
2021,Jan-Mar,1043018,6021931.0,324039,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,8602
2021,Jan-Mar,1008631,6035686.0,306009,Black,M,Aged 25 to 34 years,Not a youth,52,0,1,Fraud,0,0,0,0,0,1,,,,,,61852
2021,July-Sept,1016157,6000810.0,316825,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,1,,,,,,63121
2021,Oct-Dec,1031349,6054731.0,316049,Black,M,Aged 25 to 34 years,Not a youth,22,0,0,Sexual Related Crime,0,0,0,0,0,0,,,,,,43252
2021,Jan-Mar,1033974,6018705.0,315421,Black,M,Aged 55 to 64 years,Not a youth,XX,0,0,Mischief,0,0,0,0,0,0,,,,,,14187
2021,July-Sept,1019923,6052381.0,333409,Black,M,Aged 35 to 44 years,Not a youth,31,0,1,Assault,0,0,0,0,0,1,,,,,,34271
2021,Jan-Mar,1029871,6009567.0,314607,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,39938
2021,Oct-Dec,1021140,6032250.0,334012,Black,M,Aged 25 to 34 years,Not a youth,14,0,1,Drug Related,0,0,0,0,0,1,,,,,,2812
2021,Oct-Dec,1019443,6049751.0,322899,Black,M,Aged 17 years and under,Youth (aged 17 years and under),32,0,1,Robbery/Theft,0,0,0,0,0,1,,,,,,65053
2021,Oct-Dec,1024701,6001804.0,311385,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Weapons,0,0,0,0,0,0,,,,,,65131
2021,Oct-Dec,1005645,6017794.0,320632,Black,M,Aged 25 to 34 years,Not a youth,55,0,1,Police Category - Administrative,0,0,0,0,0,1,,,,,,62629
2021,Jan-Mar,1039047,6029306.0,314961,Black,M,Aged 18 to 24 years,Not a youth,11,0,1,Robbery/Theft,0,0,0,0,0,1,,,,,,49785
2021,Apr-June,1048390,6025817.0,319198,Black,M,Aged 18 to 24 years,Not a youth,42,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,2729
2021,Apr-June,1021548,6063018.0,301694,Black,M,Aged 25 to 34 years,Not a youth,31,0,1,Weapons,0,0,0,0,0,0,,,,,,33656
2021,July-Sept,1020561,6021137.0,335545,Black,M,Aged 25 to 34 years,Not a youth,XX,0,1,Weapons,0,0,0,0,0,1,,,,,,10613
2021,Apr-June,1011136,6042202.0,303147,Black,F,Aged 17 years and under,Youth (aged 17 years and under),22,0,1,Police Category - Administrative,0,0,0,0,0,0,,,,,,28500
2021,Oct-Dec,1054005,6040773.0,335292,Black,M,Aged 35 to 44 years,Not a youth,52,0,0,Police Category - Administrative,0,0,0,1,0,0,,,,,,14215
2021,Apr-June,1007223,6020504.0,329116,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Vehicle Related,0,0,0,0,0,1,,,,,,25895
2021,Oct-Dec,1040613,6039954.0,332911,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,17616
2021,Apr-June,1029484,6041173.0,308114,Black,M,Aged 18 to 24 years,Not a youth,53,0,1,Assault,0,0,0,0,0,0,,,,,,48932
2021,July-Sept,1018363,6030568.0,329635,Black,M,Aged 17 years and under,Youth (aged 17 years and under),12,0,1,Police Category - Administrative,0,0,0,0,0,0,,,,,,31517
2021,July-Sept,1035217,6039299.0,331252,Black,M,Aged 25 to 34 years,Not a youth,XX,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,32754
2021,Apr-June,1057956,6022443.0,336781,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,28298
2021,Apr-June,1057725,6046363.0,329100,Black,F,Aged 18 to 24 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,2246
2021,Oct-Dec,1032806,6038309.0,313613,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,11748
2021,Oct-Dec,1008128,6063983.0,336406,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Harassment/Threatening,0,0,0,0,0,0,,,,,,42822
2021,Apr-June,1048247,6040572.0,335533,Black,M,Aged 18 to 24 years,Not a youth,XX,0,1,Weapons,0,0,0,0,0,1,,,,,,63053
2021,Jan-Mar,1054387,6044553.0,315715,Black,M,Aged 45 to 54 years,Not a youth,51,0,1,Break and Enter,0,0,0,0,0,0,,,,,,23936
2021,Oct-Dec,1013484,6002723.0,335861,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,1,,,,,,15842
2021,Apr-June,1039160,6023810.0,335704,Black,M,Aged 25 to 34 years,Not a youth,11,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,46487
2021,Jan-Mar,1003364,6061408.0,334072,Black,M,Aged 18 to 24 years,Not a youth,22,0,1,Drug Related,0,0,0,0,0,0,,,,,,47547
2021,Jan-Mar,1059858,6018381.0,323201,Black,M,Aged 25 to 34 years,Not a youth,XX,0,1,Assault,0,0,0,0,0,0,,,,,,5621
2021,Jan-Mar,1018945,6063765.0,310485,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,17031
2021,Jan-Mar,1034378,6002776.0,335633,Black,M,Aged 25 to 34 years,Not a youth,53,0,1,Robbery/Theft,0,0,0,0,0,1,,,,,,20939
2021,July-Sept,1056573,6025596.0,306217,Black,M,Aged 55 to 64 years,Not a youth,XX,0,0,Robbery/Theft,0,0,0,0,0,1,,,,,,62059
2021,Jan-Mar,1028013,6042247.0,321171,Black,M,Aged 35 to 44 years,Not a youth,51,0,1,Police Category - Administrative,0,0,0,0,0,0,,,,,,1475
2021,Oct-Dec,1001364,6012286.0,304845,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Mischief,0,0,0,0,0,1,,,,,,39459
2021,July-Sept,1055525,6055131.0,329237,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Warrant,0,0,0,0,0,1,,,,,,23614
2021,Jan-Mar,1023657,6009255.0,313033,Black,M,Aged 35 to 44 years,Not a youth,13,0,1,Police Category - Administrative,0,0,0,0,0,1,,,,,,60167
2021,July-Sept,1015128,6062510.0,314121,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,0,,,,,,63543
2021,Jan-Mar,1059558,6025040.0,322682,Black,F,Aged 25 to 34 years,Not a youth,43,0,1,Assault,0,0,0,0,0,1,,,,,,37737
2021,July-Sept,1035342,6010822.0,319151,Black,M,Aged 25 to 34 years,Not a youth,51,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,33012
2021,Apr-June,1056946,6044191.0,301214,Black,M,Aged 25 to 34 years,Not a youth,12,0,1,Assault,0,0,0,0,0,0,,,,,,29472
2021,Apr-June,1058364,6016138.0,302708,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,45361
2021,Jan-Mar,1055918,6026334.0,308851,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,0,,,,,,21681
2021,Apr-June,1053380,6042170.0,309929,Black,M,Aged 25 to 34 years,Not a youth,XX,0,1,Drug Related,0,0,0,0,0,0,,,,,,420
2021,Jan-Mar,1018014,6041504.0,328574,Black,F,Aged 35 to 44 years,Not a youth,XX,0,0,Harassment/Threatening,0,0,0,0,0,0,,,,,,44241
2021,Apr-June,1021731,6001583.0,304565,Black,M,Aged 18 to 24 years,Not a youth,41,0,1,Police Category - Administrative,0,0,0,0,0,1,,,,,,30281
2021,Oct-Dec,1006109,6002982.0,305573,Black,M,Aged 18 to 24 years,Not a youth,XX,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,46132
2021,July-Sept,1013902,6013849.0,325503,Black,M,Aged 25 to 34 years,Not a youth,55,0,1,Assault,0,0,0,0,0,1,,,,,,35729
2021,Apr-June,1053830,6005976.0,321195,Black,M,Aged 45 to 54 years,Not a youth,31,0,1,Assault,0,0,0,0,0,0,,,,,,63046
2021,July-Sept,1035799,6040765.0,314413,Black,M,Aged 18 to 24 years,Not a youth,11,0,0,Harassment/Threatening,0,0,0,0,0,0,,,,,,63529
2021,Jan-Mar,1058213,6013528.0,322226,Black,F,Aged 25 to 34 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,7045
2021,Jan-Mar,1045111,6039872.0,322442,Black,M,Aged 18 to 24 years,Not a youth,41,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,46306
2021,Apr-June,1033035,6001214.0,323262,Black,M,Aged 35 to 44 years,Not a youth,14,0,1,Assault,0,1,1,0,1,0,,,,,,1965
2021,Apr-June,1030728,6010036.0,304966,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,0,,,,,,2749
2021,July-Sept,1021483,6025552.0,308779,Black,M,Aged 18 to 24 years,Not a youth,41,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,41267
2021,Oct-Dec,1000250,6005538.0,318354,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,22711
2021,Oct-Dec,1032100,6019542.0,321201,Black,M,Aged 55 to 64 years,Not a youth,XX,0,0,Impaired,0,0,0,0,0,1,,,,,,56825
2021,July-Sept,1024746,6026592.0,320354,Black,M,Aged 45 to 54 years,Not a youth,31,0,1,Assault,0,0,0,0,0,0,,,,,,63332
2021,Apr-June,1013508,6048290.0,309774,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,1,,,,,,58944
2021,Apr-June,1058921,6041548.0,321760,Black,M,Aged 25 to 34 years,Not a youth,51,1,1,Drug Related,0,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,7752
2021,Oct-Dec,1012063,6020313.0,306598,Black,M,Aged 55 to 64 years,Not a youth,13,0,1,Impaired,0,0,1,0,0,0,,,,,,15201
2021,Apr-June,1028632,6003729.0,319766,Black,M,Aged 25 to 34 years,Not a youth,31,0,1,Assault,0,0,1,0,0,0,,,,,,21869
2021,July-Sept,1031816,6029433.0,330433,Black,F,Aged 25 to 34 years,Not a youth,XX,0,1,Robbery/Theft,0,0,0,0,0,1,,,,,,32499
2021,Apr-June,1038158,6030363.0,323483,Black,M,Aged 35 to 44 years,Not a youth,51,0,1,Robbery/Theft,0,0,0,0,0,1,,,,,,39450
2021,Jan-Mar,1056808,6019231.0,321217,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,0,,,,,,7974
2021,Jan-Mar,1052748,6062608.0,335404,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Vehicle Related,0,0,0,0,0,0,,,,,,11594
2021,July-Sept,1003561,6033314.0,334424,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,30349
2021,Oct-Dec,1057949,6001439.0,320407,Black,M,Aged 45 to 54 years,Not a youth,41,0,1,Harassment/Threatening,0,0,0,0,0,1,,,,,,14888
2021,Jan-Mar,1022094,6049295.0,323945,Black,F,Aged 25 to 34 years,Not a youth,XX,0,0,Robbery/Theft,0,0,0,0,0,0,,,,,,34917
2021,Oct-Dec,1042617,6055979.0,303951,Black,M,,Not a youth,XX,0,0,Weapons,0,0,0,0,0,0,,,,,,64694
2021,Jan-Mar,1024012,6052096.0,309234,Black,M,Aged 35 to 44 years,Not a youth,41,0,1,Robbery/Theft,0,0,1,0,0,0,,,,,,56669
2021,Jan-Mar,1013477,6010220.0,334718,Black,M,Aged 35 to 44 years,Not a youth,14,0,1,Impaired,0,0,0,0,0,0,,,,,,16570
2021,July-Sept,1005007,6017995.0,336145,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Warrant,0,0,0,0,0,0,,,,,,33930
2021,Jan-Mar,1037539,6029022.0,312723,Black,M,Aged 45 to 54 years,Not a youth,31,0,1,Harassment/Threatening,0,0,0,0,0,1,,,,,,14351
2021,Jan-Mar,1042472,6046738.0,336532,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Assault,0,0,0,0,0,0,,,,,,59996
2021,Apr-June,1024332,6012820.0,306045,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,1,,,,,,18777
2021,Apr-June,1041707,6057815.0,320293,Black,F,Aged 35 to 44 years,Not a youth,42,0,1,Assault,0,0,0,0,0,1,,,,,,10296
2021,July-Sept,1034250,6000485.0,309289,Black,M,Aged 17 years and under,Youth (aged 17 years and under),XX,0,0,Robbery/Theft,0,0,0,0,0,0,,,,,,47636
2021,Oct-Dec,1002936,6014914.0,314221,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,49720
2021,July-Sept,1024893,6022858.0,334124,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Harassment/Threatening,0,0,0,0,0,0,,,,,,12996
2021,Jan-Mar,1053775,6011374.0,333388,Black,M,Aged 18 to 24 years,Not a youth,23,0,1,Assault,0,0,0,0,0,1,,,,,,36876
2021,Oct-Dec,1054996,6027400.0,306019,Black,M,Aged 25 to 34 years,Not a youth,14,1,1,Drug Related,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,2719
2021,July-Sept,1017617,6058895.0,317223,Black,M,Aged 25 to 34 years,Not a youth,23,0,1,Impaired,0,0,0,0,0,1,,,,,,5196
2021,Oct-Dec,1058967,6015070.0,310174,Black,M,Aged 25 to 34 years,Not a youth,XX,0,0,Police Category - Incident,0,0,0,0,0,1,,,,,,3096
2021,Apr-June,1024958,6033205.0,329459,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Assault,1,0,0,0,0,0,,,,,,17544
2021,Oct-Dec,1007602,6027709.0,301938,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,41438
2021,Apr-June,1031479,6034906.0,328024,Black,M,Aged 45 to 54 years,Not a youth,XX,0,0,Weapons,0,0,0,0,0,0,,,,,,62797
2021,July-Sept,1006773,6053964.0,318552,Black,F,Aged 18 to 24 years,Not a youth,12,0,1,Robbery/Theft,0,0,0,0,0,1,,,,,,29405
2021,Oct-Dec,1026458,6052726.0,323371,Black,M,Aged 35 to 44 years,Not a youth,12,0,1,Harassment/Threatening,0,0,0,0,0,1,,,,,,26653
2021,Oct-Dec,1002449,6063309.0,329200,Black,M,Aged 45 to 54 years,Not a youth,51,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,1,0,1,,,,,,64528
2021,Jan-Mar,1048712,6060796.0,334029,Black,M,Aged 18 to 24 years,Not a youth,41,0,0,Mischief,0,0,0,0,0,1,,,,,,27237
2021,Oct-Dec,1051348,6015041.0,313976,Black,M,Aged 25 to 34 years,Not a youth,54,0,1,Assault,0,0,0,0,0,0,,,,,,22699
2021,July-Sept,1035642,6054196.0,334185,Black,F,Aged 18 to 24 years,Not a youth,23,0,1,Weapons,0,0,0,0,0,0,,,,,,40916
2021,Jan-Mar,1031872,6032902.0,317321,Black,M,Aged 17 years and under,Youth (aged 17 years and under),11,0,1,Weapons,0,0,0,0,0,0,,,,,,39589
2021,Oct-Dec,1046075,6059927.0,332043,Black,M,Aged 45 to 54 years,Not a youth,XX,0,1,Assault,0,0,0,0,0,1,,,,,,33793
2021,Apr-June,1050644,6063153.0,309908,Black,M,Aged 35 to 44 years,Not a youth,23,0,1,Sexual Related Crime,0,0,0,0,0,1,,,,,,29671
2021,July-Sept,1009758,6007418.0,320649,Black,F,Aged 25 to 34 years,Not a youth,XX,0,0,Mischief,0,0,0,0,0,0,,,,,,20748
2021,Jan-Mar,1007610,6041441.0,331300,Black,M,Aged 25 to 34 years,Not a youth,51,0,1,Robbery/Theft,0,0,0,0,0,0,,,,,,3346
2021,July-Sept,1053381,6032212.0,326479,Black,M,Aged 25 to 34 years,Not a youth,54,0,1,Drug Related,0,0,0,0,0,1,,,,,,8706
2021,Apr-June,1033346,6041944.0,330556,Black,F,Aged 35 to 44 years,Not a youth,51,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,47084
2021,Jan-Mar,1037772,6064613.0,330462,Black,M,Aged 25 to 34 years,Not a youth,12,0,1,Assault,0,0,0,0,0,0,,,,,,61408
2021,Jan-Mar,1017329,6008469.0,322173,Black,M,Aged 35 to 44 years,Not a youth,XX,0,0,Police Category - Incident,0,0,0,0,0,0,,,,,,43886
2021,Apr-June,1051268,6010171.0,316877,Black,M,Aged 18 to 24 years,Not a youth,XX,0,0,Police Category - Administrative,0,0,0,0,0,0,,,,,,24695
2021,Oct-Dec,1034260,6064524.0,328055,Black,F,Aged 18 to 24 years,Not a youth,XX,0,0,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,1,,,,,,32064
2021,Apr-June,1010519,6007066.0,305528,Black,M,Aged 25 to 34 years,Not a youth,52,0,1,FTA/FTC/Compliance Check/Parollee,0,0,0,0,0,0,,,,,,28969
